column,row,site,lat,lon,year,month,date,aqua_day,flag,aqua_night,flag,terra_day,flag,terra_night,flag,lstAvg
704,764,56004,34.13,92.26,2019,10,17,16.33000000000004,1,-10.309999999999945,1,12.970000000000027,1,-9.0,2,2.4975000000000307
710,1090,56021,34.08,95.49,2019,10,17,6.090000000000032,1,-11.809999999999945,1,4.230000000000018,1,-11.0,2,-3.122499999999974
185,358,52602,38.45,93.2,2019,10,18,11.490000000000009,1,-9.549999999999955,1,12.510000000000048,1,-2.0,2,3.1125000000000256
422,612,52707,36.48,93.41,2019,10,18,27.49000000000001,1,-5.0,2,24.190000000000055,1,-11.0,2,8.920000000000016
449,749,52818,36.25,94.55,2019,10,18,24.010000000000048,1,-2.0,2,24.850000000000023,1,-4.0,2,10.715000000000018
448,914,52825,36.26,96.26,2019,10,18,30.53000000000003,1,1.670000000000016,1,25.110000000000014,1,-4.0,2,13.327500000000015
458,1098,52836,36.18,98.06,2019,10,18,11.210000000000036,1,-13.789999999999964,1,11.610000000000014,1,-4.0,2,1.2575000000000216
584,732,52908,35.13,93.05,2019,10,18,7.050000000000011,1,-12.0,2,6.57000000000005,1,-10.0,2,-2.0949999999999847
949,165,55248,32.09,84.25,2019,10,18,2.260994398733601,3,-6.0,2,24.53000000000003,1,-4.289999999999964,1,4.125248599683417
1045,1038,55299,31.29,92.04,2019,10,18,6.6656419252976775,3,-6.089999999999975,1,14.233389103901573,3,-15.698077884619124,3,-0.2222617138549623
1179,18,55437,30.17,81.15,2019,10,18,22.010000000000048,1,-12.20999999999998,1,17.510000000000048,1,-7.289999999999964,1,5.005000000000038
1165,1035,55493,30.29,91.06,2019,10,18,1.2700000000000387,1,-6.829999999999984,1,7.430000000000007,1,-19.280989171704277,3,-4.352747292926054
704,764,56004,34.13,92.26,2019,10,18,1.670000000000016,1,-7.189999999999998,1,13.450000000000045,1,-8.0,2,-0.017499999999984084
710,1090,56021,34.08,95.49,2019,10,18,5.170000000000016,1,-8.229999999999961,1,9.930000000000007,1,-9.369999999999948,1,-0.6249999999999716
185,358,52602,38.45,93.2,2019,10,19,15.810000000000002,1,-8.289999999999964,1,11.870000000000005,1,-5.0,2,3.597500000000011
422,612,52707,36.48,93.41,2019,10,19,17.130000000000052,1,-5.289999999999964,1,21.77000000000004,1,-14.589999999999975,1,4.755000000000038
449,749,52818,36.25,94.55,2019,10,19,21.0,2,-3.2099999999999795,1,4.850000000000023,1,-4.75,1,4.472500000000011
448,914,52825,36.26,96.26,2019,10,19,13.130000000000052,1,-0.3499999999999659,1,21.0,2,-5.509999999999991,1,7.067500000000024
458,1098,52836,36.18,98.06,2019,10,19,6.890000000000043,1,-7.289999999999964,1,13.0,2,-4.029999999999973,1,2.1425000000000267
584,732,52908,35.13,93.05,2019,10,19,6.910000000000025,1,-13.529999999999973,1,1.2300000000000182,1,-10.489999999999952,1,-3.9699999999999704
949,165,55248,32.09,84.25,2019,10,19,23.74327420652844,3,-7.269999999999982,1,27.79000000000002,1,-12.46999999999997,1,7.948318551632127
1045,1038,55299,31.29,92.04,2019,10,19,11.53384043648839,3,-5.789999999999964,1,2.6148302817018703,3,-4.48446213407442,3,0.9685521460289692
1179,18,55437,30.17,81.15,2019,10,19,21.0,2,-11.0,2,17.590000000000032,1,-7.0,2,5.147500000000008
1165,1035,55493,30.29,91.06,2019,10,19,6.0,2,-7.789999999999964,1,11.0,2,-9.937535212608054,3,-0.18188380315200448
704,764,56004,34.13,92.26,2019,10,19,13.970000000000027,1,-9.629999999999995,1,13.730000000000018,1,-6.96999999999997,1,2.77500000000002
710,1090,56021,34.08,95.49,2019,10,19,0.5100000000000477,1,-10.169999999999959,1,5.0,2,-6.609999999999957,1,-2.817499999999967
185,358,52602,38.45,93.2,2019,10,20,17.310000000000002,1,-6.0,2,10.590000000000032,1,-3.9499999999999886,1,4.487500000000011
422,612,52707,36.48,93.41,2019,10,20,6.930000000000007,1,-5.609999999999957,1,11.470000000000027,1,-18.94999999999996,1,-1.5399999999999707
449,749,52818,36.25,94.55,2019,10,20,19.0,2,-3.2299999999999613,1,13.850000000000023,1,-4.0,2,6.405000000000015
448,914,52825,36.26,96.26,2019,10,20,15.430000000000007,1,0.1300000000000523,1,19.650000000000034,1,-2.0,2,8.302500000000023
458,1098,52836,36.18,98.06,2019,10,20,6.9500000000000455,1,-7.0,2,15.29000000000002,1,-4.0,2,2.8100000000000165
584,732,52908,35.13,93.05,2019,10,20,5.0,2,-7.509999999999991,1,2.0,2,-7.669999999999959,1,-2.0449999999999875
949,165,55248,32.09,84.25,2019,10,20,12.0,2,-9.409999999999968,1,23.0,2,-5.149999999999977,1,5.110000000000014
1045,1038,55299,31.29,92.04,2019,10,20,20.630344087723643,3,-5.0,2,-1.949462064076215,3,1.0,2,3.670220505911857
1179,18,55437,30.17,81.15,2019,10,20,20.0,2,-11.809999999999945,1,18.0,2,-8.569999999999993,1,4.405000000000015
1165,1035,55493,30.29,91.06,2019,10,20,8.0,2,-6.0,2,9.0,2,-2.7893765340559185,3,2.0526558664860204
704,764,56004,34.13,92.26,2019,10,20,9.0,2,-10.0,2,12.0,2,-8.0,2,0.75
710,1090,56021,34.08,95.49,2019,10,20,-4.0,2,-12.0,2,2.1100000000000136,1,-8.0,2,-5.472499999999997
185,358,52602,38.45,93.2,2019,10,21,15.79000000000002,1,-4.449999999999989,1,12.730000000000018,1,-2.329999999999984,1,5.4350000000000165
422,612,52707,36.48,93.41,2019,10,21,12.170000000000016,1,-13.789999999999964,1,21.670000000000016,1,-6.25,1,3.450000000000017
449,749,52818,36.25,94.55,2019,10,21,17.090000000000032,1,-4.0,2,11.970000000000027,1,-3.589999999999975,1,5.367500000000021
448,914,52825,36.26,96.26,2019,10,21,22.190000000000055,1,-3.349999999999966,1,17.350000000000023,1,0.7500000000000568,1,9.235000000000042
458,1098,52836,36.18,98.06,2019,10,21,0.8500000000000227,1,-6.309999999999945,1,13.0,2,-4.609999999999957,1,0.7325000000000301
584,732,52908,35.13,93.05,2019,10,21,5.3700000000000045,1,-10.0,2,2.6900000000000546,1,-10.0,2,-2.984999999999985
949,165,55248,32.09,84.25,2019,10,21,18.250000000000057,1,-9.149999999999977,1,19.77000000000004,1,-7.869999999999948,1,5.250000000000043
1045,1038,55299,31.29,92.04,2019,10,21,13.0,2,-4.309999999999945,1,-1.0,2,-4.1299999999999955,1,0.8900000000000148
1179,18,55437,30.17,81.15,2019,10,21,19.930000000000007,1,-10.129999999999995,1,20.170000000000016,1,-9.149999999999977,1,5.2050000000000125
1165,1035,55493,30.29,91.06,2019,10,21,25.365254239179194,3,-4.769999999999982,1,9.0,2,-2.7899999999999636,1,6.701313559794812
704,764,56004,34.13,92.26,2019,10,21,6.910000000000025,1,-12.229999999999961,1,10.750000000000057,1,-8.949999999999989,1,-0.879999999999967
