column,row,site,lat,lon,year,month,date,aqua_day,flag,aqua_night,flag,terra_day,flag,terra_night,flag,lstAvg
1179,18,55437,30.17,81.15,2019,10,7,15.210000000000036,1,-15.649999999999977,1,19.0,2,-5.229999999999961,1,3.3325000000000244
1165,1035,55493,30.29,91.06,2019,10,7,14.554036371473188,3,-1.2099999999999795,1,0.8201155066111454,3,0.5500000000000114,1,3.6785379695210914
704,764,56004,34.13,92.26,2019,10,7,12.0,2,-4.0,2,19.210000000000036,1,-0.8099999999999454,1,6.600000000000023
710,1090,56021,34.08,95.49,2019,10,7,-1.0,2,-4.96999999999997,1,13.190000000000055,1,-5.0,2,0.555000000000021
185,358,52602,38.45,93.2,2019,10,8,10.350000000000023,1,-3.0,2,14.0,2,-5.0,2,4.087500000000006
422,612,52707,36.48,93.41,2019,10,8,28.0,2,-5.0,2,32.0,2,-1.8086971678536514,3,13.297825708036587
449,749,52818,36.25,94.55,2019,10,8,28.0,2,1.226628504147719,3,24.0,2,-4.906057140607146,3,12.080142840885143
448,914,52825,36.26,96.26,2019,10,8,24.172717971849238,3,2.0,2,23.96130366891093,3,4.141573496920692,3,13.568898784420215
458,1098,52836,36.18,98.06,2019,10,8,29.0,2,-1.8210875940220035,3,25.99000000000001,1,-11.971933138174812,3,10.299244816950798
584,732,52908,35.13,93.05,2019,10,8,11.550000000000011,1,-4.189999999999998,1,11.0,2,0.0,2,4.590000000000003
949,165,55248,32.09,84.25,2019,10,8,26.010000000000048,1,-4.489999999999952,1,20.850000000000023,1,-1.169999999999959,1,10.30000000000004
1045,1038,55299,31.29,92.04,2019,10,8,24.58414155378057,3,-3.0,2,10.629822447438627,3,-2.0,2,7.553491000304799
1179,18,55437,30.17,81.15,2019,10,8,20.390000000000043,1,-6.109999999999957,1,23.150000000000034,1,-5.089999999999975,1,8.085000000000036
1165,1035,55493,30.29,91.06,2019,10,8,19.351697611530483,3,-2.0,2,5.426476570678304,3,0.0,2,5.694543545552197
704,764,56004,34.13,92.26,2019,10,8,16.77000000000004,1,-4.7099999999999795,1,16.0,2,-1.0,2,6.765000000000015
710,1090,56021,34.08,95.49,2019,10,8,6.168206609191785,3,-6.0,2,14.0,2,-6.729999999999961,1,1.8595516522979558
185,358,52602,38.45,93.2,2019,10,9,17.190000000000055,1,-3.9699999999999704,1,12.950000000000045,1,-8.269999999999982,1,4.475000000000037
422,612,52707,36.48,93.41,2019,10,9,28.304106763359727,3,-2.0,2,11.702000095199566,3,-1.4583989586732145,3,9.13692697497152
449,749,52818,36.25,94.55,2019,10,9,15.466380123532488,3,-11.569999999999993,1,12.013358615336344,3,-17.673477235676373,3,-0.44093462420188345
448,914,52825,36.26,96.26,2019,10,9,28.003158913933433,3,1.3700000000000045,1,19.240205401926616,3,3.430000000000007,1,13.010841078965015
458,1098,52836,36.18,98.06,2019,10,9,6.539778037374219,3,-5.553977552940992,3,30.0,2,-17.148061973967938,3,3.4594346276163224
584,732,52908,35.13,93.05,2019,10,9,6.0,2,-6.0,2,9.150000000000034,1,-3.760540981745791,3,1.3473647545635608
949,165,55248,32.09,84.25,2019,10,9,28.0,2,-5.0,2,23.0,2,-1.0499999999999545,1,11.237500000000011
1045,1038,55299,31.29,92.04,2019,10,9,12.368189577951497,3,-4.589999999999975,1,5.192791176949328,3,-4.0,2,2.2427451887252126
1179,18,55437,30.17,81.15,2019,10,9,22.0,2,-10.789999999999964,1,16.890000000000043,1,-5.25,1,5.71250000000002
1165,1035,55493,30.29,91.06,2019,10,9,11.525934657555453,3,-2.0499999999999545,1,6.312403091403624,3,-1.4899999999999523,1,3.5745844372397926
704,764,56004,34.13,92.26,2019,10,9,8.650000000000034,1,-9.389999999999986,1,13.0,2,-3.0,2,2.315000000000012
710,1090,56021,34.08,95.49,2019,10,9,11.07556802031418,3,-8.0,2,14.810000000000002,1,-7.0,2,2.7213920050785454
185,358,52602,38.45,93.2,2019,10,10,17.0,2,-2.0,2,14.0,2,-3.9499999999999886,1,6.262500000000003
422,612,52707,36.48,93.41,2019,10,10,22.665043367203694,3,0.0,2,23.146723024129273,3,-5.95120009330013,3,9.965141574508209
449,749,52818,36.25,94.55,2019,10,10,20.859464587117657,3,-8.0,2,20.23641793406796,3,-5.626098727474044,3,6.867445948427893
448,914,52825,36.26,96.26,2019,10,10,22.9208598666779,3,0.0,2,12.763256868349984,3,0.0,2,8.921029183756971
458,1098,52836,36.18,98.06,2019,10,10,22.757638581783368,3,-5.0,2,4.905751721216689,3,-11.079852798070291,3,2.8958843762324413
584,732,52908,35.13,93.05,2019,10,10,-5.186221104629851,3,-7.889999999999986,1,-0.14999999999997726,1,-8.93682706238718,3,-5.540762041754249
949,165,55248,32.09,84.25,2019,10,10,29.0,2,-6.809999999999945,1,26.090000000000032,1,-4.649999999999977,1,10.907500000000027
1045,1038,55299,31.29,92.04,2019,10,10,11.690000000000055,1,-4.0,2,11.408318912579645,3,-6.489999999999952,1,3.152079728144937
1179,18,55437,30.17,81.15,2019,10,10,26.310000000000002,1,-8.769999999999982,1,23.970000000000027,1,-4.46999999999997,1,9.26000000000002
1165,1035,55493,30.29,91.06,2019,10,10,3.8100000000000023,1,-4.789999999999964,1,11.390000000000043,1,-0.92999999999995,1,2.370000000000033
704,764,56004,34.13,92.26,2019,10,10,12.930000000000007,1,-6.149999999999977,1,11.050000000000011,1,-3.8699999999999477,1,3.4900000000000233
710,1090,56021,34.08,95.49,2019,10,10,20.82936559718118,3,-10.829999999999984,1,9.765696657592784,3,-7.729999999999961,1,3.0087655636935047
185,358,52602,38.45,93.2,2019,10,11,19.0,2,-1.169999999999959,1,15.0,2,-0.1099999999999568,1,8.180000000000021
